(AO)Percentage SLAs Met,Ageing,Average Resolution Effort - Incidents,Average Resolution Effort - Problems,Backlog Processing Efficiency - Incidents,Backlog Processing Efficiency - Problems,Delivered Defects,clusters_second_pass,warning_second_pass
100,1,6.89,8,1.14,2.24,0,0,
76.92,67,16.26,20,2.3,0.33,0,0,
100,0,3.32,14.06,1,1.07,0,0,
100,0,3.3,26.45,1,1,0,0,
100,6,7.05,7.5,0.92,1,0,0,
99.9,36,6.13,4.54,1.14,-1.47,0,0,
100,13,7.99,8.15,0.94,1.08,0,0,
100,0,28.68,25,0.76,1,0,0,
100,0,3,1,1,1,0,0,
100,0,4.57,1,1,1,0,0,
100,0,6.67,8,1.07,1.46,0,0,
100,0,10,10,0.75,1,0,0,
100,0,2.97,10.13,1,1,0,0,
100,0,6.8,8,1.09,2,0,0,
100,0,10,10,0.83,1,0,0,
100,0,4.29,32.66,1,1,0,0,
100,0,3.4,26.46,1,1,0,0,
100,0,42.86,25,0.88,1,0,0,
100,0,40,1,-2,1,0,0,
99.9,26,6.56,15.44,1.16,-0.39,0,0,
100,5,5.57,39.63,0.96,1,0,0,
100,5,5.51,36.64,1.08,0.92,0,0,
100,0,2.75,6.71,1,1,0,0,
100,0,1.13,10.67,1.14,1,0,0,
100,0,10,10,1,1,0,0,
91.67,35,10.43,11.67,1.83,0.38,0,0,
100,0,37.5,25,0.89,1,0,0,
100,0,33.33,25,1.07,1,0,0,
100,0,2,10,1,1,0,0,
100,0,2,16,1,1,0,0,
100,0,2.11,7,0.92,1,0,0,
100,0,0.01,0.1,0.99,1,0,0,
100,0,39.94,59.45,0.61,0.69,0,0,
100,0,1,0.17,1,1,0,0,
100,0,1.13,10.67,1.14,1,0,0,
100,0,2,16,1,1,0,0,
100,9,0.56,10,1,1.5,0,0,
100,98.21,230.95,2.5,2.57,1,0,7,"Looks like %SLAs met and Ageing are not in line, for 100% SLAs met, Ageing values should be 0"
82.09,56,0.5,2.13,-2.3,-0.98,55,9,Negative values entered
100,0,0,0.1,1.03,1,0,0,
100,0,0.01,0.1,1,1,0,0,
100,0,5.13,45,0.8,0.5,0,0,
100,0,2.96,16.67,1.08,1,0,0,
100,0,0.01,0.1,0.99,1,0,0,
100,0,0.01,1,0.88,1,0,0,
100,0,2.28,17.5,1.08,1,0,0,
100,0,2.65,14.14,1.07,1,0,0,
100,0,1,1,1,1,0,0,
100,4,5.18,41.93,1.15,1,0,0,
100,1,6.21,41.79,1.17,1.27,0,0,
100,0,6.02,44.5,1.12,0.88,0,0,
100,0,2.68,1,1,1,0,0,
100,0,4.17,1.29,1.5,2.33,0,0,
100,0,0.23,24.67,1.05,30,0,0,
100,0,7.36,7.36,1,1,5,0,
100,0,0.01,0.1,0.98,1,0,0,
100,0,0.01,0.1,1.01,1,0,0,
100,0,1,1,1,1,0,0,
99.12,98.01,78.07,13,1,1,0,0,
100,0,6.99,8,1.05,0.52,0,0,
100,0,6.7,8,0.98,1.06,0,0,
100,0,75,25,1,1,0,0,
100,0,25,25,1.09,1,0,0,
100,0,32.5,25,1.05,1,0,0,
100,0,10,10,0.86,1,0,0,
90.91,50,10.73,17.5,1.97,1,0,0,
100,5,5.24,39.6,1.05,1,0,0,
100,3,5.26,39,1.06,1.08,0,0,
100,0,0.55,41.27,1.09,4.33,0,0,
100,0,2.11,3,0.98,1,0,0,
100,0,2.11,4,1,1,0,0,
100,0,4.41,1,1,1,0,0,
100,0,1.13,10.67,1.14,1,0,0,
100,0,3.77,1.29,1.63,2.33,0,0,
100,0,3.77,1.29,1.63,2.33,0,0,
100,0,1.46,5,0.98,1,0,0,
100,0,3.52,3.52,1.25,1.25,5,0,
100,0,0.01,0.1,1.09,1,0,0,
100,0,0,0.1,1.04,1,0,0,
100,0,0,0.1,1.02,1,0,0,
100,0,32.6,58.55,0.85,0.79,0,0,
100,0,17.43,60.87,1,1,0,0,
100,0,1.65,11.2,1,10,12,0,
100,0,3.69,15.83,1.08,1,0,0,
100,0,4.21,1,1,1,0,0,
100,0,3.2,1,1,1,0,0,
100,0,1,0.14,1,1,0,0,
100,5,5.63,41,1.02,0.88,0,0,
100,0,2.04,10.67,1,1,0,0,
100,0,3.77,1.29,1.63,2.33,0,0,
100,0,1.46,5,0.97,1,0,0,
100,0,2,16,1,1,0,0,
